"National University of Singapore","Singapore","South-Eastern Asia"
"University of Geneva","Switzerland","Western Europe"
"University of Maryland, College Park","USA","Caribbean"
"University of Rochester","USA","Caribbean"
"Emory University","USA","Caribbean"
"University of Copenhagen","Denmark","Western Europe"
"University of California, Irvine","USA","Caribbean"
"Brown University","USA","Caribbean"
"Ludwig Maximilian University of Munich","Germany","Western Europe"
"Georgia Institute of Technology","USA","Caribbean"
"Tufts University","USA","Caribbean"
"University of Zurich","Switzerland","Western Europe"
"Tel Aviv University","Israel","Western Asia"
"Tsinghua University","China","Eastern Asia"
"Utrecht University","Netherlands","Caribbean"
"Ruprecht Karl University of Heidelberg","Germany","Western Europe"
"King's College London","United Kingdom","Western Europe"
"Sapienza University of Rome","Italy","Western Europe"
"Kyushu University","Japan","Eastern Asia"
"Swiss Federal Institute of Technology in Lausanne","Switzerland","Western Europe"
"Katholieke Universiteit Leuven","Belgium","Western Europe"
"University of Sydney","Australia","Oceania"
"Tokyo Institute of Technology","Japan","Eastern Asia"
"University of Melbourne","Australia","Oceania"
"University of Bonn","Germany","Western Europe"
"Technical University of Munich","Germany","Western Europe"
"Royal Institute of Technology","Sweden","Western Europe"
"Erasmus University Rotterdam","Netherlands","Caribbean"
"Case Western Reserve University","USA","Caribbean"
"University of Alberta","Canada","Caribbean"
"University of Texas MD Anderson Cancer Center","USA","Caribbean"
"Texas A&amp;M University, College Station","USA","Caribbean"
"Arizona State University","USA","Caribbean"
"Yonsei University","South Korea","Eastern Asia"
"Rice University","USA","Caribbean"
"Technion – Israel Institute of Technology","Israel","Western Asia"
"University of Helsinki","Finland","Western Europe"
"University of Oslo","Norway","Western Europe"
"Michigan State University","USA","Caribbean"
"Indiana University - Bloomington","USA","Caribbean"
"University of the Witwatersrand","South Africa","Southern Africa"
"University of Queensland","Australia","Oceania"
"Lund University","Sweden","Western Europe"
"Leiden University","Netherlands","Caribbean"
"Georgetown University","USA","Caribbean"
"Aarhus University","Denmark","Western Europe"
"University of Barcelona","Spain","Western Europe"
"Baylor College of Medicine","USA","Caribbean"
"University of Amsterdam","Netherlands","Caribbean"
"University of Bristol","United Kingdom","Western Europe"
"Uppsala University","Sweden","Western Europe"
"University of Iowa","USA","Caribbean"
"Stony Brook University","USA","Caribbean"
"University of Groningen","Netherlands","Caribbean"
"Korea Advanced Institute of Science and Technology (KAIST)","South Korea","Eastern Asia"
"Radboud University Nijmegen","Netherlands","Caribbean"
"Korea University","South Korea","Eastern Asia"
"University of São Paulo","Brazil","South America"
"Nagoya University","Japan","Eastern Asia"
"University of Colorado Denver","USA","Caribbean"
"University of Montreal","Canada","Caribbean"
"Albert Ludwig University of Freiburg","Germany","Western Europe"
